game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
401114346,2019,14,Liberty,New Mexico State,numberfire,-14.5,66.5,,Liberty -14.5
401114346,2019,14,Liberty,New Mexico State,consensus,-14.5,68.0,,Liberty -14.5
401114346,2019,14,Liberty,New Mexico State,Caesars,-15.5,68.5,,Liberty -15.5
401114346,2019,14,Liberty,New Mexico State,Bovada,-15.5,67.0,,Liberty -15.5
401114323,2019,14,Louisiana Tech,UTSA,teamrankings,-21.0,57.0,,Louisiana Tech -21
401114323,2019,14,Louisiana Tech,UTSA,numberfire,-21.0,55.5,,Louisiana Tech -21
401114323,2019,14,Louisiana Tech,UTSA,consensus,-21.0,56.5,,Louisiana Tech -21
401114323,2019,14,Louisiana Tech,UTSA,Caesars,-20.5,56.0,,Louisiana Tech -20.5
401114323,2019,14,Louisiana Tech,UTSA,Bovada,-20.5,56.0,,Louisiana Tech -20.5
401121982,2019,14,Louisiana,UL Monroe,teamrankings,-19.5,71.0,,Louisiana -19.5
401121982,2019,14,Louisiana,UL Monroe,numberfire,-19.5,71.0,,Louisiana -19.5
401121982,2019,14,Louisiana,UL Monroe,consensus,-20.0,71.0,,Louisiana -20
401121982,2019,14,Louisiana,UL Monroe,Caesars,-20.5,71.0,,Louisiana -20.5
401121982,2019,14,Louisiana,UL Monroe,Bovada,-20.0,71.0,,Louisiana -20.0
401132981,2019,15,LSU,Georgia,teamrankings,-7.0,57.0,,LSU -7
401132981,2019,15,LSU,Georgia,numberfire,-7.0,57.0,,LSU -7
401132981,2019,15,LSU,Georgia,consensus,-7.0,57.0,,LSU -7
401132981,2019,15,LSU,Georgia,Caesars,-7.0,57.0,,LSU -7
401132981,2019,15,LSU,Georgia,Bovada,-7.5,57.5,,LSU -7.5
401132974,2019,15,Oklahoma,Baylor,teamrankings,-9.0,65.5,,Oklahoma -9
401132974,2019,15,Oklahoma,Baylor,numberfire,-9.5,66.0,,Oklahoma -9.5
401132974,2019,15,Oklahoma,Baylor,consensus,-9.5,66.5,,Oklahoma -9.5
401132974,2019,15,Oklahoma,Baylor,Caesars,-9.5,66.0,,Oklahoma -9.5
401132974,2019,15,Oklahoma,Baylor,Bovada,-9.0,66.5,,Oklahoma -9.0
401135261,2019,1,Kent State,Utah State,teamrankings,7.0,71.0,,Utah State -7
401135261,2019,1,Kent State,Utah State,numberfire,7.0,71.0,,Utah State -7
401135261,2019,1,Kent State,Utah State,consensus,7.0,71.5,,Utah State -7
401135261,2019,1,Kent State,Utah State,Caesars,7.0,71.5,,Utah State -7
401135261,2019,1,Kent State,Utah State,Bovada,7.5,71.5,,Utah State -7.5
401135266,2019,1,Washington,Boise State,teamrankings,-3.5,47.0,,Washington -3.5
401135266,2019,1,Washington,Boise State,numberfire,-3.5,47.5,,Washington -3.5
401135266,2019,1,Washington,Boise State,consensus,-3.5,48.0,,Washington -3.5
401135266,2019,1,Washington,Boise State,Caesars,-3.5,47.5,,Washington -3.5
401135266,2019,1,Washington,Boise State,Bovada,-4.0,48.0,,Washington -4
401135267,2019,1,UAB,App State,teamrankings,17.0,47.0,,App State -17
401135267,2019,1,UAB,App State,numberfire,17.0,47.5,,App State -17
401135267,2019,1,UAB,App State,consensus,17.0,47.5,,App State -17
401135267,2019,1,UAB,App State,Caesars,17.0,48.0,,App State -17
401135267,2019,1,UAB,App State,Bovada,17.5,48.0,,App State -17.5
401135263,2019,1,San Diego State,Central Michigan,teamrankings,-4.5,40.5,,San Diego State -4.5
401135263,2019,1,San Diego State,Central Michigan,numberfire,-3.5,40.5,,San Diego State -3.5
401135263,2019,1,San Diego State,Central Michigan,consensus,-3.5,40.5,,San Diego State -3.5
401135263,2019,1,San Diego State,Central Michigan,Caesars,-3.5,41.0,,San Diego State -3.5
401135263,2019,1,San Diego State,Central Michigan,Bovada,-4.0,40.0,,San Diego State -4.0
401147693,2019,1,Georgia Southern,Liberty,teamrankings,-5.5,58.5,,Georgia Southern -5.5
401147693,2019,1,Georgia Southern,Liberty,numberfire,-5.0,58.5,,Georgia Southern -5
401147693,2019,1,Georgia Southern,Liberty,consensus,-5.0,58.5,,Georgia Southern -5
401147693,2019,1,Georgia Southern,Liberty,Caesars,-4.5,60.0,,Georgia Southern -4.5
401147693,2019,1,Georgia Southern,Liberty,Bovada,-5.0,59.0,,Georgia Southern -5.0
401135264,2019,1,Florida Atlantic,SMU,teamrankings,7.0,63.5,,SMU -7
401135264,2019,1,Florida Atlantic,SMU,numberfire,7.0,63.0,,SMU -7
401135264,2019,1,Florida Atlantic,SMU,consensus,7.0,63.5,,SMU -7
401135264,2019,1,Florida Atlantic,SMU,Caesars,7.0,63.5,,SMU -7
401135264,2019,1,Florida Atlantic,SMU,Bovada,7.5,64.0,,SMU -7.5
401135265,2019,1,Arkansas State,Florida International,teamrankings,1.5,58.5,,Florida International -1.5
401135265,2019,1,Arkansas State,Florida International,numberfire,1.0,60.0,,Florida International -1
401135265,2019,1,Arkansas State,Florida International,consensus,1.0,59.5,,Florida International -1
401135265,2019,1,Arkansas State,Florida International,Caesars,1.0,61.0,,Florida International -1
401135265,2019,1,Arkansas State,Florida International,Bovada,1.5,60.0,,Florida International -1.5
401135273,2019,1,Wake Forest,Michigan State,teamrankings,4.0,51.0,,Michigan State -4
401135273,2019,1,Wake Forest,Michigan State,numberfire,3.5,51.5,,Michigan State -3.5
401135273,2019,1,Wake Forest,Michigan State,consensus,3.5,51.5,,Michigan State -3.5
401135273,2019,1,Wake Forest,Michigan State,Caesars,3.5,52.0,,Michigan State -3.5
401135273,2019,1,Wake Forest,Michigan State,Bovada,3.5,50.5,,Michigan State -3.5
401135277,2019,1,Penn State,Memphis,teamrankings,-7.0,59.0,,Penn State -7
401135277,2019,1,Penn State,Memphis,numberfire,-6.5,59.0,,Penn State -6.5
401135277,2019,1,Penn State,Memphis,consensus,-6.5,59.5,,Penn State -6.5
401135277,2019,1,Penn State,Memphis,Caesars,-6.5,60.5,,Penn State -6.5
401135277,2019,1,Penn State,Memphis,Bovada,-7.0,59.5,,Penn State -7.0
401135281,2019,1,Louisville,Mississippi State,teamrankings,4.5,64.5,,Mississippi State -4.5
401135281,2019,1,Louisville,Mississippi State,numberfire,4.5,64.5,,Mississippi State -4.5
401135281,2019,1,Louisville,Mississippi State,consensus,4.5,64.5,,Mississippi State -4.5
401135281,2019,1,Louisville,Mississippi State,Caesars,4.5,64.5,,Mississippi State -4.5
401135281,2019,1,Louisville,Mississippi State,Bovada,5.0,64.5,,Mississippi State -5.0
401117853,2019,1,UCF,Florida A&M,consensus,-44.0,65.5,,UCF -44
401117855,2019,1,UConn,Wagner,consensus,-23.0,70.5,,UConn -23
401119254,2019,1,Bowling Green,Morgan State,consensus,-24.0,50.5,,Bowling Green -24
401119255,2019,1,Buffalo,Robert Morris,consensus,-41.5,63.5,,Buffalo -41.5
401114246,2019,1,Western Kentucky,Central Arkansas,consensus,-10.0,54.5,,Western Kentucky -10
401135910,2019,1,Charlotte,Gardner-Webb,consensus,-31.0,54.5,,Charlotte -31
401114237,2019,1,UAB,Alabama State,consensus,-39.0,50.5,,UAB -39
401119253,2019,1,Central Michigan,UAlbany,consensus,-14.5,45.0,,Central Michigan -14.5
401112229,2019,1,Minnesota,South Dakota State,consensus,-14.5,56.0,,Minnesota -14.5
401117493,2019,1,San José State,Northern Colorado,consensus,-17.5,59.5,,San José State -17.5
401114233,2019,1,Washington,Eastern Washington,consensus,-24.5,64.5,,Washington -24.5
401114225,2019,3,Utah,Idaho State,consensus,-37.5,63.5,,Utah -37.5
401117503,2019,3,Boise State,Portland State,consensus,-32.5,54.0,,Boise State -32.5
401110795,2019,3,Tennessee,Chattanooga,consensus,-30.5,50.0,,Tennessee -30.5
401110791,2019,3,Ole Miss,SE Louisiana,consensus,-30.5,53.0,,Ole Miss -30.5
401117505,2019,3,Nevada,Weber State,consensus,-7.5,51.5,,Nevada -7.5
401117868,2019,3,Tulane,Missouri State,consensus,-31.5,55.0,,Tulane -31.5
401112239,2019,2,Colorado,Nebraska,teamrankings,4.0,64.0,,Nebraska -4
401112239,2019,2,Colorado,Nebraska,numberfire,4.5,63.5,,Nebraska -4.5
401112239,2019,2,Colorado,Nebraska,consensus,4.5,63.5,,Nebraska -4.5
401112239,2019,2,Colorado,Nebraska,Caesars,4.5,64.0,,Nebraska -4.5
401121941,2019,4,Arkansas State,Southern Illinois,consensus,-23.0,62.0,,Arkansas State -23
401112129,2019,1,TCU,Arkansas-Pine Bluff,consensus,-55.0,64.5,,TCU -55
401114326,2019,14,UTEP,Rice,teamrankings,7.0,43.0,,Rice -7
401114326,2019,14,UTEP,Rice,numberfire,6.5,43.5,,Rice -6.5
401114326,2019,14,UTEP,Rice,consensus,6.5,43.5,,Rice -6.5
401114326,2019,14,UTEP,Rice,Caesars,6.5,43.5,,Rice -6.5
401114326,2019,14,UTEP,Rice,Bovada,6.5,43.5,,Rice -6.5
401117900,2019,11,Tulsa,UCF,Bovada,17.0,68.5,,UCF -17.0
401117900,2019,11,Tulsa,UCF,teamrankings,17.0,68.5,,UCF -17
401117900,2019,11,Tulsa,UCF,numberfire,17.0,68.5,,UCF -17
401117900,2019,11,Tulsa,UCF,consensus,16.5,68.0,,UCF -16.5
401117900,2019,11,Tulsa,UCF,Caesars,16.5,69.0,,UCF -16.5
401112142,2019,11,West Virginia,Texas Tech,Bovada,2.5,57.5,,Texas Tech -2.5
401112142,2019,11,West Virginia,Texas Tech,teamrankings,2.5,56.0,,Texas Tech -2.5
401112142,2019,11,West Virginia,Texas Tech,numberfire,2.5,57.0,,Texas Tech -2.5
401112142,2019,11,West Virginia,Texas Tech,consensus,2.5,56.0,,Texas Tech -2.5
401112142,2019,11,West Virginia,Texas Tech,Caesars,2.5,56.5,,Texas Tech -2.5
401119296,2019,11,Western Michigan,Ball State,Bovada,-6.5,65.0,,Western Michigan -6.5
401119296,2019,11,Western Michigan,Ball State,teamrankings,-6.5,64.0,,Western Michigan -6.5
401119296,2019,11,Western Michigan,Ball State,numberfire,-6.5,64.0,,Western Michigan -6.5
401119296,2019,11,Western Michigan,Ball State,consensus,-6.5,65.0,,Western Michigan -6.5
401119296,2019,11,Western Michigan,Ball State,Caesars,-6.5,65.0,,Western Michigan -6.5
401112502,2019,11,Boston College,Florida State,Bovada,-1.5,64.0,,Boston College -1.5
401112502,2019,11,Boston College,Florida State,teamrankings,-1.0,64.5,,Boston College -1
401112502,2019,11,Boston College,Florida State,numberfire,-1.0,64.5,,Boston College -1
401112502,2019,11,Boston College,Florida State,consensus,-1.0,64.5,,Boston College -1
401112502,2019,11,Boston College,Florida State,Caesars,-1.5,64.0,,Boston College -1.5
401119298,2019,11,Ohio,Miami (OH),Bovada,-7.5,57.5,,Ohio -7.5
401119298,2019,11,Ohio,Miami (OH),teamrankings,-7.0,57.5,,Ohio -7
401119298,2019,11,Ohio,Miami (OH),numberfire,-7.0,57.0,,Ohio -7
401119298,2019,11,Ohio,Miami (OH),consensus,-7.0,57.5,,Ohio -7
401119298,2019,11,Ohio,Miami (OH),Caesars,-7.0,57.0,,Ohio -7
401114205,2019,11,Oregon State,Washington,Bovada,11.0,64.5,,Washington -11.0
401114205,2019,11,Oregon State,Washington,teamrankings,10.5,65.0,,Washington -10.5
